Restaurant_ID,Name,JapaneseName,Station,FirstCategory,SecondCategory,DinnerPrice,LunchPrice,TotalRating,DinnerRating,LunchRating,ReviewNum,Lat,Long,Review_Text,Review_Rating
72,Izakayashinoomiya  ,はなまる串カツ製作所 大宮店,Shijo Omiya,Izakaya (Tavern),Kushi-age (Fried Skewer),￥2000～￥2999,,3.14,3.14,,30,35.0047962545949,135.747841693829,"This place deserves all the praise. Simply exceptional! | もう二度と来ないと思います。 | The food was fantastic, service was prompt. | 可もなく不可もなく。値段相応かな。 | 料理精緻好吃，服務態度親切，值得推薦。 | ラーメンのスープが絶品。今まで食べた中で一番美味しい。 | Food arrived cold, service was inattentive. | 日本酒の種類が豊富で、ソムリエの説明も丁寧。 | 普通でした。特に印象に残るものはありませんでした。 | 無可挑剔！服務、環境、食物都是一流水準。 | It was okay. Nothing particularly memorable. | It was okay. Nothing particularly memorable. | 料理品質不如預期，價格偏貴。 | 和牛品質極佳，口感軟嫩多汁。 | 食材新鮮，口味道地，很滿意。 | 普通でした。特に印象に残るものはありませんでした。 | The food was alright, reasonably priced. | Great dining experience, will definitely return. | Middle of the road. Nothing to complain about. | 味は悪くないけど、特別おすすめするほどでもない。 | The sushi was incredibly fresh and melted in my mouth! | Not bad, but there are better options in the area. | 料理精緻好吃，服務態度親切，值得推薦。 | 壽司超級新鮮，入口即化！ | 料理品質不如預期，價格偏貴。 | Wonderful atmosphere and delicious dishes. | The matcha dessert was heavenly! | 食物水準中等，價格還算可以。 | 味は悪くないけど、特別おすすめするほどでもない。 | 可以試試看，但不會特別推薦。",3.3333333333333335
73,Ittetsugurache  ,Ittetsu Grazie,Karasuma,Yakiniku (BBQ Beef),Bar,￥3000～￥3999, ～￥999,3.52,3.5,3.32,33,35.0047036962275,135.762538484634,"Beautiful presentation and authentic flavors. | 焼き鳥が絶妙な焼き加減。味付けも最高。 | Really enjoyed our meal here. Solid choice! | Really enjoyed our meal here. Solid choice! | Middle of the road. Nothing to complain about. | Service was a bit slow, but food was acceptable. | Really enjoyed our meal here. Solid choice! | 超越期待！這是我在京都吃過最好的餐廳。 | Very good! Just a few minor details could be improved. | Best restaurant in Kyoto, hands down! | Beyond expectations! Worth every penny. | The matcha dessert was heavenly! | The okonomiyaki was authentic and delicious. | Middle of the road. Nothing to complain about. | 料理精緻好吃，服務態度親切，值得推薦。 | 懐石料理の一品一品が芸術品のよう。 | Excellent food and friendly staff. Highly recommend! | Lovely place with a cozy ambiance. | 味は悪くないけど、特別おすすめするほどでもない。 | 味は悪くないけど、特別おすすめするほどでもない。 | The food was fantastic, service was prompt. | Middle of the road. Nothing to complain about. | Amazing wagyu beef, cooked to perfection. | Excellent food and friendly staff. Highly recommend! | The okonomiyaki was authentic and delicious. | Lovely place with a cozy ambiance. | サービスも丁寧で、居心地が良かったです。 | Wonderful atmosphere and delicious dishes. | The tempura was crispy and not oily at all. | まあまあですね。期待していたほどではなかった。",3.8333333333333335
74,Ichishun  ,一瞬,Kyoto,Izakaya (Tavern),Japanese food (other),￥4000～￥4999, ～￥999,3.53,3.52,3.4,72,34.9877799444932,135.7594723447,"Absolutely phenomenal! One of the best meals I've ever had. | 天婦羅炸得剛剛好，完全不油膩。 | 天ぷらがサクサクで、油っぽくない。 | Great value for money, portions were generous. | 懷石料理每一道都很精緻，視覺與味覺的雙重享受。 | 新鮮な食材を使った本格的な味。 | Very good! Just a few minor details could be improved. | The matcha dessert was heavenly! | Mind-blowing experience! Will definitely come back. | 料理のクオリティが高く、満足しました。 | 無可挑剔！服務、環境、食物都是一流水準。 | Beautiful presentation and authentic flavors. | 料理精緻好吃，服務態度親切，值得推薦。 | The food was fantastic, service was prompt. | サービスも丁寧で、居心地が良かったです。 | 料理のクオリティが高く、満足しました。 | 値段に見合った素晴らしい料理でした。 | Absolutely phenomenal! One of the best meals I've ever had. | Very good! Just a few minor details could be improved. | Incredible atmosphere and world-class cuisine. | 料理精緻美味，服務貼心周到，值得五顆星！ | The food was fantastic, service was prompt. | Great value for money, portions were generous. | サービスも丁寧で、居心地が良かったです。 | 可以試試看，但不會特別推薦。 | 日本酒の種類が豊富で、ソムリエの説明も丁寧。 | 很棒的餐廳！食物美味，環境舒適。 | 無可挑剔！服務、環境、食物都是一流水準。 | Lovely place with a cozy ambiance. | 整體表現優秀，會想再來光顧。",4.2
75,Nikokubaru  ,ニューコクバル 京都山科店,Keihan Yamashina,Izakaya (Tavern),Kushi-age (Fried Skewer),￥2000～￥2999,,3.03,3.03,,15,34.9906070184028,135.816001130938,"The sushi was incredibly fresh and melted in my mouth! | 普通でした。特に印象に残るものはありませんでした。 | とても美味しかったです。また来たいと思います。 | Service was a bit slow, but food was acceptable. | Very good! Just a few minor details could be improved. | 服務人員很專業，料理水準穩定。 | 味は悪くないけど、特別おすすめするほどでもない。 | 料理品質不如預期，價格偏貴。 | 沒有太大驚喜，也沒什麼缺點。 | Had better meals elsewhere for less money. | 很棒的餐廳！食物美味，環境舒適。 | 新鮮な食材を使った本格的な味。 | Wonderful atmosphere and delicious dishes. | Average experience, food was decent but not exceptional. | 品質很好，價格合理，CP值高。 | Lovely place with a cozy ambiance. | 普通でした。特に印象に残るものはありませんでした。 | The food was fantastic, service was prompt. | 可もなく不可もなく。値段相応かな。 | 份量適中，口味中規中矩。 | Outstanding in every way. The attention to detail is remarkable. | Average experience, food was decent but not exceptional. | Tonkatsu was crispy outside, juicy inside. | 完璧な料理と素晴らしいサービス。京都で一番好きなお店です。 | 環境優雅，適合朋友聚餐或約會。 | The okonomiyaki was authentic and delicious. | The tempura was crispy and not oily at all. | Great dining experience, will definitely return. | まあまあですね。期待していたほどではなかった。 | Fair quality, might come back if in the area.",3.5
76,Teppansakuwan  ,鉄板 さくわん,Saiin,Teppanyaki,Izakaya (Tavern),￥3000～￥3999,,3.04,3.04,,1,35.0029211577045,135.730812638868,"清酒種類豐富，侍酒師推薦得很專業。 | Amazing wagyu beef, cooked to perfection. | 從裝潢到料理都無懈可擊，讚不絕口。 | 環境優雅，適合朋友聚餐或約會。 | 可もなく不可もなく。値段相応かな。 | 沒有太大驚喜，也沒什麼缺點。 | Impressive quality and presentation. | Middle of the road. Nothing to complain about. | 普通でした。特に印象に残るものはありませんでした。 | 可もなく不可もなく。値段相応かな。 | 料理のクオリティが高く、満足しました。 | 普通でした。特に印象に残るものはありませんでした。 | Lovely place with a cozy ambiance. | 品質很好，價格合理，CP值高。 | The kaiseki course was a work of art. | 環境優雅，適合朋友聚餐或約會。 | Excellent food and friendly staff. Highly recommend! | Great value for money, portions were generous. | The okonomiyaki was authentic and delicious. | 食物水準中等，價格還算可以。 | 普通でした。特に印象に残るものはありませんでした。 | Excellent food and friendly staff. Highly recommend! | Average experience, food was decent but not exceptional. | 普通でした。特に印象に残るものはありませんでした。 | 普通の居酒屋。次はないかも。 | 焼き鳥が絶妙な焼き加減。味付けも最高。 | とても美味しかったです。また来たいと思います。 | とても美味しかったです。また来たいと思います。 | The food was fantastic, service was prompt. | Average experience, food was decent but not exceptional.",3.566666666666667
77,RIGOLETTO SMOKE GRILL & BAR  ,RIGOLETTO SMOKE GRILL & BAR,Gion Shijo,Italian,Spain,￥4000～￥4999,￥1000～￥1999,3.52,3.5,3.51,113,35.0023853402133,135.776146676328,"氣氛很棒，料理也很有特色。 | The kaiseki course was a work of art. | 服務人員很專業，料理水準穩定。 | 最高の体験でした！また絶対に来ます。 | 太棒了！強烈推薦給所有來京都的朋友。 | 料理のクオリティが高く、満足しました。 | 天婦羅炸得剛剛好，完全不油膩。 | Best ramen I've had in Japan. The broth was perfect. | 言葉にできないほど美味しかった！感動しました。 | 料理のクオリティが高く、満足しました。 | 料理精緻好吃，服務態度親切，值得推薦。 | 日本酒の種類が豊富で、ソムリエの説明も丁寧。 | 値段に見合った素晴らしい料理でした。 | 新鮮な食材を使った本格的な味。 | Yakitori was grilled perfectly with great seasoning. | 環境優雅，適合朋友聚餐或約會。 | Really enjoyed our meal here. Solid choice! | 清酒種類豐富，侍酒師推薦得很專業。 | Great value for money, portions were generous. | 素晴らしい！職人の技術が光る一品一品。 | 懐石料理の一品一品が芸術品のよう。 | 天婦羅炸得剛剛好，完全不油膩。 | お寿司が新鮮で、口の中でとろけました！ | Really enjoyed our meal here. Solid choice! | Best restaurant in Kyoto, hands down! | Great sake selection, staff helped us choose perfectly. | Wonderful atmosphere and delicious dishes. | 無可挑剔！服務、環境、食物都是一流水準。 | ラーメンのスープが絶品。今まで食べた中で一番美味しい。 | 可以試試看，但不會特別推薦。",4.266666666666667
78,Kugurinaberoppakuya  ,くぐり鍋 六白屋,Karasuma,Izakaya (Tavern),Japanese food (other),￥4000～￥4999,,3.08,3.04,3.12,19,35.0043845208436,135.757382587083,"很棒的餐廳！食物美味，環境舒適。 | 可もなく不可もなく。値段相応かな。 | 食物水準中等，價格還算可以。 | Excellent food and friendly staff. Highly recommend! | The tempura was crispy and not oily at all. | サービスが悪く、料理も期待以下。 | 環境優雅，適合朋友聚餐或約會。 | Service was a bit slow, but food was acceptable. | 可以試試看，但不會特別推薦。 | The tempura was crispy and not oily at all. | 沒有太大驚喜，也沒什麼缺點。 | The food was fantastic, service was prompt. | 很棒的餐廳！食物美味，環境舒適。 | Not bad, but there are better options in the area. | Not bad, but there are better options in the area. | Decent place for a quick meal. | 環境還不錯，但料理表現普通。 | 份量適中，口味中規中矩。 | Very good! Just a few minor details could be improved. | Best restaurant in Kyoto, hands down! | 沒有太大驚喜，也沒什麼缺點。 | Middle of the road. Nothing to complain about. | 味は悪くないけど、特別おすすめするほどでもない。 | 日本酒の種類が豊富で、ソムリエの説明も丁寧。 | 份量適中，口味中規中矩。 | 普通でした。特に印象に残るものはありませんでした。 | 無可挑剔！服務、環境、食物都是一流水準。 | 氣氛很棒，料理也很有特色。 | 普通的餐廳，沒有特別驚艷。 | 和牛のクオリティが素晴らしい。柔らかくてジューシー。",3.433333333333333
79,Kyouryouritategami  ,京料理 立神,Marutamachi,Kyoto Cuisine,Kaiseki (Traditional Japanese),￥6000～￥7999,￥2000～￥2999,3.51,3.49,3.2,11,35.0176544080438,135.752669034239,"和牛のクオリティが素晴らしい。柔らかくてジューシー。 | Beyond expectations! Worth every penny. | It was okay. Nothing particularly memorable. | Service was a bit slow, but food was acceptable. | Lovely place with a cozy ambiance. | 素晴らしい！職人の技術が光る一品一品。 | Excellent food and friendly staff. Highly recommend! | 大阪燒很道地，料很多很實在。 | 期待以上でした。全ての料理が絶品です。 | Five stars aren't enough for this place! | サービスも丁寧で、居心地が良かったです。 | 沒有太大驚喜，也沒什麼缺點。 | Yakitori was grilled perfectly with great seasoning. | The food was alright, reasonably priced. | Not bad, but there are better options in the area. | The kaiseki course was a work of art. | 味は悪くないけど、特別おすすめするほどでもない。 | Best restaurant in Kyoto, hands down! | Great sake selection, staff helped us choose perfectly. | Outstanding in every way. The attention to detail is remarkable. | 京都に来たら必ず訪れるべきお店。強くおすすめします！ | 氣氛很棒，料理也很有特色。 | 料理精緻好吃，服務態度親切，值得推薦。 | 氣氛很棒，料理也很有特色。 | 品質很好，價格合理，CP值高。 | Best restaurant in Kyoto, hands down! | Very good! Just a few minor details could be improved. | 氣氛很棒，料理也很有特色。 | 焼き鳥が絶妙な焼き加減。味付けも最高。 | サービスも丁寧で、居心地が良かったです。",4.1
80,Pontochourobin  ,先斗町 魯ビン,Sanjo,Kyoto Cuisine,Kaiseki (Traditional Japanese),￥6000～￥7999,,3.48,3.23,3.5,66,35.007637467664,135.771076855559,"和牛品質極佳，口感軟嫩多汁。 | 食物水準中等，價格還算可以。 | Not bad, but there are better options in the area. | 太棒了！強烈推薦給所有來京都的朋友。 | The food was fantastic, service was prompt. | Best restaurant in Kyoto, hands down! | サービスも丁寧で、居心地が良かったです。 | Great dining experience, will definitely return. | Middle of the road. Nothing to complain about. | 整體表現優秀，會想再來光顧。 | The okonomiyaki was authentic and delicious. | Excellent food and friendly staff. Highly recommend! | Decent place for a quick meal. | Five stars aren't enough for this place! | 太棒了！強烈推薦給所有來京都的朋友。 | 値段に見合った素晴らしい料理でした。 | 値段に見合った素晴らしい料理でした。 | サービスも丁寧で、居心地が良かったです。 | Excellent food and friendly staff. Highly recommend! | Lovely place with a cozy ambiance. | Great value for money, portions were generous. | 拉麵湯頭濃郁，是我喝過最好喝的。 | サービスも丁寧で、居心地が良かったです。 | Middle of the road. Nothing to complain about. | 很棒的餐廳！食物美味，環境舒適。 | 期待以上でした。全ての料理が絶品です。 | Amazing wagyu beef, cooked to perfection. | 和牛品質極佳，口感軟嫩多汁。 | お寿司が新鮮で、口の中でとろけました！ | 從裝潢到料理都無懈可擊，讚不絕口。",4.0
81,BELLOTA concha  ,ベジョータコンチャ 富小路店,Kawaramachi,Spain,Italian,￥3000～￥3999,￥1000～￥1999,3.16,3.16,3.06,23,35.0028287148498,135.764830752759,"懷石料理每一道都很精緻，視覺與味覺的雙重享受。 | お好み焼きが本格的で、具材もたっぷり。 | Really enjoyed our meal here. Solid choice! | 値段に見合った素晴らしい料理でした。 | 環境優雅，適合朋友聚餐或約會。 | Lovely place with a cozy ambiance. | 料理品質不如預期，價格偏貴。 | Excellent food and friendly staff. Highly recommend! | 環境優雅，適合朋友聚餐或約會。 | 素晴らしい！職人の技術が光る一品一品。 | 天婦羅炸得剛剛好，完全不油膩。 | Lovely place with a cozy ambiance. | 服務還可以，食物表現平平。 | 品質很好，價格合理，CP值高。 | 大阪燒很道地，料很多很實在。 | Beyond expectations! Worth every penny. | 氣氛很棒，料理也很有特色。 | 服務還可以，食物表現平平。 | The food was alright, reasonably priced. | Average experience, food was decent but not exceptional. | 料理のクオリティが高く、満足しました。 | Mind-blowing experience! Will definitely come back. | The kaiseki course was a work of art. | Incredible atmosphere and world-class cuisine. | Average experience, food was decent but not exceptional. | Very good! Just a few minor details could be improved. | 値段に見合った素晴らしい料理でした。 | 料理のクオリティが高く、満足しました。 | まあまあですね。期待していたほどではなかった。 | 沒有太大驚喜，也沒什麼缺點。",3.7666666666666666
82,Bejitejiya  ,ベジテジや 四条木屋町店,Gion Shijo,Yakiniku (BBQ Beef),Korean cuisine,￥3000～￥3999,,3.11,3.11,,46,35.0035395378738,135.77026258034,"食物水準中等，價格還算可以。 | 普通の居酒屋。次はないかも。 | Middle of the road. Nothing to complain about. | 沒有太大驚喜，也沒什麼缺點。 | Really enjoyed our meal here. Solid choice! | Middle of the road. Nothing to complain about. | 食物水準中等，價格還算可以。 | 普通的餐廳，沒有特別驚艷。 | Very good! Just a few minor details could be improved. | The okonomiyaki was authentic and delicious. | 環境還不錯，但料理表現普通。 | 有點失望，CP值不高。 | Great value for money, portions were generous. | 沒有太大驚喜，也沒什麼缺點。 | Middle of the road. Nothing to complain about. | 日本酒の種類が豊富で、ソムリエの説明も丁寧。 | 可もなく不可もなく。値段相応かな。 | お寿司が新鮮で、口の中でとろけました！ | Excellent food and friendly staff. Highly recommend! | 可もなく不可もなく。値段相応かな。 | Great value for money, portions were generous. | 沒有太大驚喜，也沒什麼缺點。 | The tempura was crispy and not oily at all. | 大阪燒很道地，料很多很實在。 | Service was a bit slow, but food was acceptable. | Middle of the road. Nothing to complain about. | 可もなく不可もなく。値段相応かな。 | Wonderful atmosphere and delicious dishes. | 氣氛很棒，料理也很有特色。 | 料理精緻美味，服務貼心周到，值得五顆星！",3.4
83,Matsuzakagyuuwattsuzakicchin  ,松阪牛 WHAT'S THE KITCHEN,Gion Shijo,Steak,Sushi,￥10000～￥14999,,3.06,3.06,,4,35.006283478163,135.772928430793,"Service was a bit slow, but food was acceptable. | 氣氛很棒，料理也很有特色。 | Decent place for a quick meal. | Not bad, but there are better options in the area. | 料理のクオリティが高く、満足しました。 | 抹茶甜點超級好吃，不會太甜。 | Wonderful atmosphere and delicious dishes. | Service was a bit slow, but food was acceptable. | 完全超出預期，CP值爆表！ | Really enjoyed our meal here. Solid choice! | It was okay. Nothing particularly memorable. | 很棒的餐廳！食物美味，環境舒適。 | 大阪燒很道地，料很多很實在。 | Yakitori was grilled perfectly with great seasoning. | Service was a bit slow, but food was acceptable. | サービスも丁寧で、居心地が良かったです。 | 服務人員很專業，料理水準穩定。 | お好み焼きが本格的で、具材もたっぷり。 | Service was a bit slow, but food was acceptable. | ラーメンのスープが絶品。今まで食べた中で一番美味しい。 | 期待以上でした。全ての料理が絶品です。 | Not bad, but there are better options in the area. | Very good! Just a few minor details could be improved. | Great sake selection, staff helped us choose perfectly. | 大阪燒很道地，料很多很實在。 | 拉麵湯頭濃郁，是我喝過最好喝的。 | 料理精緻好吃，服務態度親切，值得推薦。 | Very good! Just a few minor details could be improved. | 普通的餐廳，沒有特別驚艷。 | 豬排外酥內嫩，醬汁也很搭。",3.7
84,Sushidokoroima  ,寿し処 今,Katsura,Sushi,Seafood,￥6000～￥7999,,3.53,3.53,,13,34.979850486332,135.710131252004,"可もなく不可もなく。値段相応かな。 | 服務人員很專業，料理水準穩定。 | Beyond expectations! Worth every penny. | Very good! Just a few minor details could be improved. | 整體表現優秀，會想再來光顧。 | 懐石料理の一品一品が芸術品のよう。 | 完美的用餐體驗！每一道菜都令人驚艷。 | This place deserves all the praise. Simply exceptional! | 氣氛很棒，料理也很有特色。 | Incredible atmosphere and world-class cuisine. | 環境優雅，適合朋友聚餐或約會。 | お好み焼きが本格的で、具材もたっぷり。 | Great sake selection, staff helped us choose perfectly. | Amazing wagyu beef, cooked to perfection. | 從裝潢到料理都無懈可擊，讚不絕口。 | 料理精緻美味，服務貼心周到，值得五顆星！ | とても美味しかったです。また来たいと思います。 | 環境優雅，適合朋友聚餐或約會。 | The food was fantastic, service was prompt. | 新鮮な食材を使った本格的な味。 | お好み焼きが本格的で、具材もたっぷり。 | 和牛のクオリティが素晴らしい。柔らかくてジューシー。 | Perfection! From the food to the service, everything was flawless. | 環境優雅，適合朋友聚餐或約會。 | とても美味しかったです。また来たいと思います。 | 和牛品質極佳，口感軟嫩多汁。 | Outstanding in every way. The attention to detail is remarkable. | 天婦羅炸得剛剛好，完全不油膩。 | 言葉にできないほど美味しかった！感動しました。 | 份量適中，口味中規中矩。",4.2
85,Maribuagaru  ,まりぶあがる,Karasuma,Izakaya (Tavern),Japanese food (other),￥3000～￥3999,,3.1,3.1,,24,35.0026827391119,135.761237630186,"料理精緻美味，服務貼心周到，值得五顆星！ | The food was alright, reasonably priced. | 可もなく不可もなく。値段相応かな。 | 料理のクオリティが高く、満足しました。 | 壽司超級新鮮，入口即化！ | The kaiseki course was a work of art. | 天ぷらがサクサクで、油っぽくない。 | Not bad, but there are better options in the area. | 味は悪くないけど、特別おすすめするほどでもない。 | Very good! Just a few minor details could be improved. | 焼き鳥が絶妙な焼き加減。味付けも最高。 | Great sake selection, staff helped us choose perfectly. | 素晴らしい！職人の技術が光る一品一品。 | Outstanding in every way. The attention to detail is remarkable. | The food was alright, reasonably priced. | Perfection! From the food to the service, everything was flawless. | まあまあですね。期待していたほどではなかった。 | 服務人員很專業，料理水準穩定。 | 沒有太大驚喜，也沒什麼缺點。 | Excellent food and friendly staff. Highly recommend! | 普通の居酒屋。次はないかも。 | 料理のクオリティが高く、満足しました。 | お好み焼きが本格的で、具材もたっぷり。 | The food was fantastic, service was prompt. | It was okay. Nothing particularly memorable. | Amazing wagyu beef, cooked to perfection. | The matcha dessert was heavenly! | 服務人員很專業，料理水準穩定。 | Great value for money, portions were generous. | The food was fantastic, service was prompt.",3.8333333333333335
86,Italian bar Lugol  ,イタリアンバール ルゴール,Karasuma Oike,Italian,Pasta,￥2000～￥2999, ～￥999,3.03,3.02,3.04,28,35.0111876696183,135.756670110802,"Average experience, food was decent but not exceptional. | Fair quality, might come back if in the area. | 懐石料理の一品一品が芸術品のよう。 | とんかつが外はサクサク、中はジューシー。 | 完美的用餐體驗！每一道菜都令人驚艷。 | 完璧な料理と素晴らしいサービス。京都で一番好きなお店です。 | Average experience, food was decent but not exceptional. | Decent place for a quick meal. | 普通の居酒屋。次はないかも。 | Service was a bit slow, but food was acceptable. | Middle of the road. Nothing to complain about. | Fair quality, might come back if in the area. | 整體表現優秀，會想再來光顧。 | お好み焼きが本格的で、具材もたっぷり。 | Had better meals elsewhere for less money. | 料理精緻好吃，服務態度親切，值得推薦。 | 超越期待！這是我在京都吃過最好的餐廳。 | 料理品質不如預期，價格偏貴。 | Service was a bit slow, but food was acceptable. | 普通でした。特に印象に残るものはありませんでした。 | Beautiful presentation and authentic flavors. | 環境還不錯，但料理表現普通。 | 環境還不錯，但料理表現普通。 | The food was fantastic, service was prompt. | 普通でした。特に印象に残るものはありませんでした。 | The sushi was incredibly fresh and melted in my mouth! | The okonomiyaki was authentic and delicious. | The food was alright, reasonably priced. | Service was a bit slow, but food was acceptable. | とても美味しかったです。また来たいと思います。",3.3333333333333335
87,Takishokudou  ,ターキー食堂,Shijo,Dining bar,Izakaya (Tavern),￥3000～￥3999,,3.02,3.02,,3,35.0026330051004,135.755297563109,"Really enjoyed our meal here. Solid choice! | The okonomiyaki was authentic and delicious. | The kaiseki course was a work of art. | 環境優雅，適合朋友聚餐或約會。 | 日本酒の種類が豊富で、ソムリエの説明も丁寧。 | 京都に来たら必ず訪れるべきお店。強くおすすめします！ | とんかつが外はサクサク、中はジューシー。 | The food was alright, reasonably priced. | 新鮮な食材を使った本格的な味。 | ラーメンのスープが絶品。今まで食べた中で一番美味しい。 | Tonkatsu was crispy outside, juicy inside. | まあまあですね。期待していたほどではなかった。 | 氣氛很棒，料理也很有特色。 | 和牛品質極佳，口感軟嫩多汁。 | 可以試試看，但不會特別推薦。 | 很棒的餐廳！食物美味，環境舒適。 | 份量適中，口味中規中矩。 | Average experience, food was decent but not exceptional. | Average experience, food was decent but not exceptional. | 雰囲気が良くて、料理も美味しい。おすすめです。 | 服務還可以，食物表現平平。 | 最高の体験でした！また絶対に来ます。 | The tempura was crispy and not oily at all. | Great sake selection, staff helped us choose perfectly. | 食材新鮮，口味道地，很滿意。 | 完全超出預期，CP值爆表！ | サービスも丁寧で、居心地が良かったです。 | Very good! Just a few minor details could be improved. | Food arrived cold, service was inattentive. | Service was a bit slow, but food was acceptable.",3.6666666666666665
88,Bar Pleasure  ,バー プレジャー,Kawaramachi,Bar,Wine bar,￥2000～￥2999,,3.0,3.0,,2,35.0061886218041,135.764668287831,Very good! Just a few minor details could be improved. | 普通の居酒屋。次はないかも。 | 雰囲気が良くて、料理も美味しい。おすすめです。 | 完全超出預期，CP值爆表！ | ラーメンのスープが絶品。今まで食べた中で一番美味しい。 | 普通でした。特に印象に残るものはありませんでした。 | 服務人員很專業，料理水準穩定。 | Middle of the road. Nothing to complain about. | 雰囲気が良くて、料理も美味しい。おすすめです。 | 京都に来たら必ず訪れるべきお店。強くおすすめします！ | It was okay. Nothing particularly memorable. | 素晴らしい！職人の技術が光る一品一品。 | まあまあですね。期待していたほどではなかった。 | 天ぷらがサクサクで、油っぽくない。 | 可もなく不可もなく。値段相応かな。 | 抹茶デザートが絶品！甘さ控えめで完璧。 | 料理のクオリティが高く、満足しました。 | 料理のクオリティが高く、満足しました。 | 壽司超級新鮮，入口即化！ | 食材新鮮，口味道地，很滿意。 | 味は悪くないけど、特別おすすめするほどでもない。 | Incredible atmosphere and world-class cuisine. | Impressive quality and presentation. | 普通的餐廳，沒有特別驚艷。 | 料理精緻好吃，服務態度親切，值得推薦。 | 食物水準中等，價格還算可以。 | Middle of the road. Nothing to complain about. | 氣氛很棒，料理也很有特色。 | 味は悪くないけど、特別おすすめするほどでもない。 | It was okay. Nothing particularly memorable.,3.6333333333333333
89,Sou  ,宗,Shijo,Izakaya (Tavern),Creative cuisine,￥4000～￥4999,,3.55,3.55,,44,35.0048177708664,135.755266076244,"Really enjoyed our meal here. Solid choice! | 服務人員很專業，料理水準穩定。 | 値段に見合った素晴らしい料理でした。 | 服務人員很專業，料理水準穩定。 | 焼き鳥が絶妙な焼き加減。味付けも最高。 | 値段に見合った素晴らしい料理でした。 | Mind-blowing experience! Will definitely come back. | 雰囲気も味も最高！特別な日にぴったりです。 | ラーメンのスープが絶品。今まで食べた中で一番美味しい。 | Lovely place with a cozy ambiance. | 食材新鮮，口味道地，很滿意。 | 完美的用餐體驗！每一道菜都令人驚艷。 | 氣氛很棒，料理也很有特色。 | 抹茶甜點超級好吃，不會太甜。 | Best restaurant in Kyoto, hands down! | Really enjoyed our meal here. Solid choice! | 天婦羅炸得剛剛好，完全不油膩。 | 京都第一名餐廳！必須二訪三訪。 | 整體表現優秀，會想再來光顧。 | Beautiful presentation and authentic flavors. | 最高の体験でした！また絶対に来ます。 | Best restaurant in Kyoto, hands down! | 整體表現優秀，會想再來光顧。 | Mind-blowing experience! Will definitely come back. | 抹茶デザートが絶品！甘さ控えめで完璧。 | ラーメンのスープが絶品。今まで食べた中で一番美味しい。 | 太棒了！強烈推薦給所有來京都的朋友。 | 服務人員很專業，料理水準穩定。 | 料理精緻好吃，服務態度親切，值得推薦。 | 新鮮な食材を使った本格的な味。",4.266666666666667
90,Kaisenizakayamatsurishungyotokyouyasaitoosakenoomise  ,海鮮居酒屋 祭ーMATSURIー 〜旬魚と京野菜とお酒のお店〜,Kawaramachi,Izakaya (Tavern),Seafood,￥3000～￥3999,,3.03,3.03,,7,35.0040092787709,135.770300805123,"很棒的餐廳！食物美味，環境舒適。 | 抹茶デザートが絶品！甘さ控えめで完璧。 | 普通でした。特に印象に残るものはありませんでした。 | 完璧な料理と素晴らしいサービス。京都で一番好きなお店です。 | 沒有太大驚喜，也沒什麼缺點。 | Excellent food and friendly staff. Highly recommend! | 食材新鮮，口味道地，很滿意。 | Middle of the road. Nothing to complain about. | 可以試試看，但不會特別推薦。 | 環境優雅，適合朋友聚餐或約會。 | Mind-blowing experience! Will definitely come back. | It was okay. Nothing particularly memorable. | 太棒了！強烈推薦給所有來京都的朋友。 | Excellent food and friendly staff. Highly recommend! | The kaiseki course was a work of art. | 食材新鮮，口味道地，很滿意。 | Very good! Just a few minor details could be improved. | 料理のクオリティが高く、満足しました。 | The kaiseki course was a work of art. | 普通でした。特に印象に残るものはありませんでした。 | Great dining experience, will definitely return. | 沒有太大驚喜，也沒什麼缺點。 | 環境優雅，適合朋友聚餐或約會。 | The food was fantastic, service was prompt. | 値段に見合った素晴らしい料理でした。 | 很棒的餐廳！食物美味，環境舒適。 | 服務人員很專業，料理水準穩定。 | The kaiseki course was a work of art. | 可もなく不可もなく。値段相応かな。 | 抹茶デザートが絶品！甘さ控えめで完璧。",3.7666666666666666
